Salary From,-,Salary to,Employer,Employee Contribution
9500 ,-,9600 ,1152 ,1056 
9600 ,-,9700 ,1164 ,1067 
9700 ,-,9800 ,1176 ,1078 
9800 ,-,9900 ,1188 ,1089 
9900 ,-,10000 ,1200 ,1100 
10000 ,-,10100 ,1212 ,1111 
10100 ,-,10200 ,1224 ,1122 
10200 ,-,10300 ,1236 ,1133 
10300 ,-,10400 ,1248 ,1144 
10400 ,-,10500 ,1260 ,1155 
10500 ,-,10600 ,1272 ,1166 
10600 ,-,10700 ,1284 ,1177 
10700 ,-,10800 ,1296 ,1188 
10800 ,-,10900 ,1308 ,1199 
10900 ,-,11000 ,1320 ,1210 
11000 ,-,11100 ,1332 ,1221 
11100 ,-,11200 ,1344 ,1232 
11200 ,-,11300 ,1356 ,1243 
11300 ,-,11400 ,1368 ,1254 
11400 ,-,11500 ,1380 ,1265 
11500 ,-,11600 ,1392 ,1276 
11600 ,-,11700 ,1404 ,1287 
11700 ,-,11800 ,1416 ,1298 
11800 ,-,11900 ,1428 ,1309 
11900 ,-,12000 ,1440 ,1320 
12000 ,-,12100 ,1452 ,1331 
12100 ,-,12200 ,1464 ,1342 
12200 ,-,12300 ,1476 ,1353 
12300 ,-,12400 ,1488 ,1364 
12400 ,-,12500 ,1500 ,1375 
12500 ,-,12600 ,1512 ,1386 
12600 ,-,12700 ,1524 ,1397 
12700 ,-,12800 ,1536 ,1408 
12800 ,-,12900 ,1548 ,1419 
12900 ,-,13000 ,1560 ,1430 
13000 ,-,13100 ,1572 ,1441 
13100 ,-,13200 ,1584 ,1452 
13200 ,-,13300 ,1596 ,1463 
13300 ,-,13400 ,1608 ,1474 
13400 ,-,13500 ,1620 ,1485 
13500 ,-,13600 ,1632 ,1496 
13600 ,-,13700 ,1644 ,1507 
13700 ,-,13800 ,1656 ,1518 
13800 ,-,13900 ,1668 ,1529 
13900 ,-,14000 ,1680 ,1540 
14000 ,-,14100 ,1692 ,1551 
14100 ,-,14200 ,1704 ,1562 
14200 ,-,14300 ,1716 ,1573 
14300 ,-,14400 ,1728 ,1584 
14400 ,-,14500 ,1740 ,1595 
14500 ,-,14600 ,1752 ,1606 
14600 ,-,14700 ,1764 ,1617 
14700 ,-,14800 ,1776 ,1628 
14800 ,-,14900 ,1788 ,1639 
14900 ,-,15000 ,1800 ,1650 
15000 ,-,15100 ,1812 ,1661 
15100 ,-,15200 ,1824 ,1672 
15200 ,-,15300 ,1836 ,1683 
15300 ,-,15400 ,1848 ,1694 
15400 ,-,15500 ,1860 ,1705 
15500 ,-,15600 ,1872 ,1716 
15600 ,-,15700 ,1884 ,1727 
15700 ,-,15800 ,1896 ,1738 
15800 ,-,15900 ,1908 ,1749 
15900 ,-,16000 ,1920 ,1760 
16000 ,-,16100 ,1932 ,1771 
16100 ,-,16200 ,1944 ,1782 
16200 ,-,16300 ,1956 ,1793 
16300 ,-,16400 ,1968 ,1804 
16400 ,-,16500 ,1980 ,1815 
16500 ,-,16600 ,1992 ,1826 
16600 ,-,16700 ,2004 ,1837 
16700 ,-,16800 ,2016 ,1848 
16800 ,-,16900 ,2028 ,1859 
16900 ,-,17000 ,2040 ,1870 
17000 ,-,17100 ,2052 ,1881 
17100 ,-,17200 ,2064 ,1892 
17200 ,-,17300 ,2076 ,1903 
17300 ,-,17400 ,2088 ,1914 
17400 ,-,17500 ,2100 ,1925 
17500 ,-,17600 ,2112 ,1936 
17600 ,-,17700 ,2124 ,1947 
17700 ,-,17800 ,2136 ,1958 
17800 ,-,17900 ,2148 ,1969 
17900 ,-,18000 ,2160 ,1980 
18000 ,-,18100 ,2172 ,1991 
18100 ,-,18200 ,2184 ,2002 
18200 ,-,18300 ,2196 ,2013 
18300 ,-,18400 ,2208 ,2024 
18400 ,-,18500 ,2220 ,2035 
18500 ,-,18600 ,2232 ,2046 
18600 ,-,18700 ,2244 ,2057 
18700 ,-,18800 ,2256 ,2068 
18800 ,-,18900 ,2268 ,2079 
18900 ,-,19000 ,2280 ,2090 
19000 ,-,19100 ,2292 ,2101 
19100 ,-,19200 ,2304 ,2112 
19200 ,-,19300 ,2316 ,2123 
19300 ,-,19400 ,2328 ,2134 
19400 ,-,19500 ,2340 ,2145 
19500 ,-,19600 ,2352 ,2156 
19600 ,-,19700 ,2364 ,2167 
19700 ,-,19800 ,2376 ,2178 
19800 ,-,19900 ,2388 ,2189 
19900 ,-,20000 ,2400 ,2200 
