Salary From,,Salary to,Employer,Employee Contribution
0.01,-,10.00,0,0
10.01,-,20.00,5.00,3.00
20.01,-,40.00,5.00,5.00
40.01,-,60.00,5.00,7.00
60.01,-,80.00,5.00,9.00
80.01,-,100.00,5.00,11.00
100.01,-,120.00,5.00,14.00
120.01,-,140.00,5.00,16.00
140.01,-,160.00,5.00,18.00
160.01,-,180.00,5.00,20.00
180.01,-,200.00,5.00,22.00
200.01,-,220.00,5.00,25.00
220.01,-,240.00,5.00,27.00
240.01,-,260.00,5.00,29.00
260.01,-,280.00,5.00,31.00
280.01,-,300.00,5.00,33.00
300.01,-,320.00,5.00,36.00
320.01,-,340.00,5.00,38.00
340.01,-,360.00,5.00,40.00
360.01,-,380.00,5.00,42.00
380.01,-,400.00,5.00,44.00
400.01,-,420.00,5.00,47.00
420.01,-,440.00,5.00,49.00
440.01,-,460.00,5.00,51.00
460.01,-,480.00,5.00,53.00
480.01,-,500.00,5.00,55.00
500.01,-,520.00,5.00,58.00
520.01,-,540.00,5.00,60.00
540.01,-,560.00,5.00,62.00
560.01,-,580.00,5.00,64.00
580.01,-,600.00,5.00,66.00
600.01,-,620.00,5.00,69.00
620.01,-,640.00,5.00,71.00
640.01,-,660.00,5.00,73.00
660.01,-,680.00,5.00,75.00
680.01,-,700.00,5.00,77.00
700.01,-,720.00,5.00,80.00
720.01,-,740.00,5.00,82.00
740.01,-,760.00,5.00,84.00
760.01,-,780.00,5.00,86.00
780.01,-,800.00,5.00,88.00
800.01,-,820.00,5.00,91.00
820.01,-,840.00,5.00,93.00
840.01,-,860.00,5.00,95.00
860.01,-,880.00,5.00,97.00
880.01,-,900.00,5.00,99.00
900.01,-,920.00,5.00,102.00
920.01,-,940.00,5.00,104.00
940.01,-,960.00,5.00,106.00
960.01,-,980.00,5.00,108.00
980.01,-,"1,000.00",5.00,110.00
"1,000.01",-,"1,020.00",5.00,113.00
"1,020.01",-,"1,040.00",5.00,115.00
"1,040.01",-,"1,060.00",5.00,117.00
"1,060.01",-,"1,080.00",5.00,119.00
"1,080.01",-,"1,100.00",5.00,121.00
"1,100.01",-,"1,120.00",5.00,124.00
"1,120.01",-,"1,140.00",5.00,126.00
"1,140.01",-,"1,160.00",5.00,128.00
"1,160.01",-,"1,180.00",5.00,130.00
"1,180.01",-,"1,200.00",5.00,132.00
"1,200.01",-,"1,220.00",5.00,135.00
"1,220.01",-,"1,240.00",5.00,137.00
"1,240.01",-,"1,260.00",5.00,139.00
"1,260.01",-,"1,280.00",5.00,141.00
"1,280.01",-,"1,300.00",5.00,143.00
"1,300.01",-,"1,320.00",5.00,146.00
"1,320.01",-,"1,340.00",5.00,148.00
"1,340.01",-,"1,360.00",5.00,150.00
"1,360.01",-,"1,380.00",5.00,152.00
"1,380.01",-,"1,400.00",5.00,154.00
"1,400.01",-,"1,420.00",5.00,157.00
"1,420.01",-,"1,440.00",5.00,159.00
"1,440.01",-,"1,460.00",5.00,161.00
"1,460.01",-,"1,480.00",5.00,163.00
"1,480.01",-,"1,500.00",5.00,165.00
"1,500.01",-,"1,520.00",5.00,168.00
"1,520.01",-,"1,540.00",5.00,170.00
"1,540.01",-,"1,560.00",5.00,172.00
"1,560.01",-,"1,580.00",5.00,174.00
"1,580.01",-,"1,600.00",5.00,176.00
"1,600.01",-,"1,620.00",5.00,179.00
"1,620.01",-,"1,640.00",5.00,181.00
"1,640.01",-,"1,660.00",5.00,183.00
"1,660.01",-,"1,680.00",5.00,185.00
"1,680.01",-,"1,700.00",5.00,187.00
"1,700.01",-,"1,720.00",5.00,190.00
"1,720.01",-,"1,740.00",5.00,192.00
"1,740.01",-,"1,760.00",5.00,194.00
"1,760.01",-,"1,780.00",5.00,196.00
"1,780.01",-,"1,800.00",5.00,198.00
"1,800.01",-,"1,820.00",5.00,201.00
"1,820.01",-,"1,840.00",5.00,203.00
"1,840.01",-,"1,860.00",5.00,205.00
"1,860.01",-,"1,880.00",5.00,207.00
"1,880.01",-,"1,900.00",5.00,209.00
