Salary from,title,Salary to,Employer,Employee
0.01,-,10,0,0
10.01,-,20,5,3
20.01,-,40,5,5
40.01,-,60,5,7
60.01,-,80,5,9
80.01,-,100,5,11
100.01,-,120,5,14
120.01,-,140,5,16
140.01,-,160,5,18
